,IoU,IoU,IoU,Dice,Dice,Inference_Time_ms,Inference_Time_ms
,mean,std,median,mean,std,mean,std
Model,,,,,,,
cbam_unet_finetuned,0.9272,0.0852,0.9457,0.9594,0.0649,200.2329,0.0
cbam_unet_pretrained,0.9344,0.0809,0.9542,0.9637,0.0583,200.3016,0.0
hrnet_finetuned,0.9143,0.1002,0.942,0.9514,0.0752,26.8867,0.0
hrnet_pretrained,0.9196,0.0937,0.947,0.9549,0.0663,26.8935,0.0
lightm_unet_finetuned,0.9097,0.1087,0.94,0.9484,0.0769,171.4592,0.0
lightm_unet_pretrained,0.9011,0.1002,0.9308,0.9444,0.0694,172.4145,0.0
pspnet_new_finetuned,0.9058,0.106,0.9373,0.9462,0.0793,46.6427,0.0
pspnet_new_pretrained,0.9072,0.1044,0.9355,0.947,0.0808,46.5131,0.0
resunet_advanced_finetuned,0.9187,0.0979,0.9426,0.9538,0.0759,93.1933,0.0
resunet_advanced_mini_finetuned,0.9155,0.1059,0.9399,0.9512,0.0863,55.0511,0.0
resunet_advanced_mini_pretrained,0.9195,0.0915,0.9435,0.9551,0.0643,55.0124,0.0
resunet_advanced_pretrained,0.9248,0.0916,0.9498,0.9579,0.0653,93.3998,0.0
resunet_small_finetuned,0.9082,0.1162,0.9359,0.9461,0.0973,57.9821,0.0
resunet_small_pretrained,0.9149,0.0929,0.9386,0.9524,0.0668,57.9818,0.0
unet_finetuned,0.9156,0.099,0.9399,0.9523,0.0733,44.3219,0.0
unet_pretrained,0.9287,0.0922,0.9525,0.9599,0.0658,44.1129,0.0
