Model,Training,IoU,Dice,Precision,Recall,Time_ms
CBAM-ResUNet,Pretrained,0.934409466033514,0.9637112978619382,0.9752308798555828,0.957161729021966,200.3015913069248
cbam_unet,Fine-tuned,0.9271821823790681,0.959434026403218,0.9750053246591879,0.9499395336322336,200.2328704437241
U-Net,Pretrained,0.9286717363530604,0.9599352485117959,0.9740963968457858,0.9519101062353392,44.11287812050432
unet,Fine-tuned,0.9156451995960003,0.9522754164656843,0.9764524211344684,0.9360672917471053,44.32194319553673
MA-ResUNet,Pretrained,0.9248163444223053,0.9578970481534571,0.9767181877030002,0.9459703762120484,93.3998405188322
resunet_advanced,Fine-tuned,0.9186623170290158,0.9538494990068552,0.9745984507290113,0.9397213865053083,93.19325269199908
MA-ResUNet-Mini,Pretrained,0.919496454612143,0.9550574005090541,0.9732858565289912,0.9437128493494839,55.012404904700816
resunet_advanced_mini,Fine-tuned,0.9154577187561858,0.9512390993672674,0.9726387923238191,0.9394746826535313,55.05112608894706
HRNet,Pretrained,0.9195810999086594,0.9549370680538634,0.9764837762805136,0.940525446807369,26.89350971020758
hrnet,Fine-tuned,0.9142827356160312,0.9513960479066855,0.9754469832889745,0.9354736140435066,26.88666633795947
LC-ResUNet,Pretrained,0.9148625235160102,0.952370957311665,0.981108891052534,0.9313492880175942,57.98182994592935
resunet_small,Fine-tuned,0.908160826533441,0.94611509592474,0.9722851769679512,0.9308464101512709,57.98210745677352
PSPNet,Pretrained,0.9072247191072542,0.947031228637508,0.9720063642411058,0.9328255465308172,46.51311156805605
pspnet_new,Fine-tuned,0.9057822747629427,0.9462467277983545,0.9708699199113472,0.9317173414438449,46.642692727036774
LightM-UNet,Pretrained,0.9010983681420006,0.9443875070437617,0.9822792948014918,0.9160725408432815,172.4145431118086
lightm_unet,Fine-tuned,0.9097069526764385,0.9484179950513215,0.9788852813507983,0.9279065072566075,171.45915222354233
